"Symbol","Company","Industry","Series","Face Value(Rs.)","Purpose","Ex-Date","Record Date","BC Start Date","BC End Date","No Delivery Start Date","No Delivery End Date"
"BALRAMCHIN","Balrampur Chini Mills Limited","-","EQ","1"," Buyback","05-Mar-2018","06-Mar-2018","-","-","-","-"
"TVSMOTOR","TVS Motor Company Limited","-","EQ","1"," Interim Dividend - Rs 1.30 Per Share (Purpose Revised)","06-Mar-2018","07-Mar-2018","-","-","-","-"
"KPRMILL","K.P.R. Mill Limited","-","EQ","5"," Buyback","06-Mar-2018","07-Mar-2018","-","-","-","-"
"PFC","Power Finance Corporation Limited","-","EQ","10"," Interim Dividend - Rs 1.80 Per Share (Purpose Revised)","06-Mar-2018","07-Mar-2018","-","-","-","-"
"DCMSHRIRAM","DCM Shriram Limited","-","EQ","2"," Interim Dividend - Rs 3.40 Per Share","07-Mar-2018","08-Mar-2018","-","-","-","-"
"STAN","Standard Chartered PLC","-","DR","-"," Dividend","08-Mar-2018","09-Mar-2018","-","-","-","-"
"CESC","CESC Limited","-","EQ","10"," Interim Dividend - Rs 12 Per Share (Purpose Revised)","08-Mar-2018","09-Mar-2018","-","-","-","-"
"HUDCO","Housing & Urban Development Corporation Limited","-","EQ","10"," Interim Dividend - Re 0.55 Per Share (Purpose Revised)","08-Mar-2018","09-Mar-2018","-","-","-","-"
"IDFCFIRSTB","IDFC First Bank Limited","-","HD","5000"," Interest Payment","08-Mar-2018","09-Mar-2018","-","-","-","-"
"GAMMONIND","Gammon India Limited","-","EQ","2"," Annual General Meeting","12-Mar-2018","-","14-Mar-2018","21-Mar-2018","-","-"
"DICIND","DIC India Limited","-","EQ","10"," Annual General Meeting","13-Mar-2018","-","15-Mar-2018","22-Mar-2018","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","-","EQ","5"," Interim Dividend - Rs 2.25 Per Share (Purpose Revised)","13-Mar-2018","14-Mar-2018","-","-","-","-"
"IOC","Indian Oil Corporation Limited","-","EQ","10"," Bonus 1:1","15-Mar-2018","17-Mar-2018","-","-","-","-"
"NBCC","NBCC (India) Limited","-","EQ","1"," Interim Dividend - Re 0.55 Per Share (Purpose Revised)","15-Mar-2018","16-Mar-2018","-","-","-","-"
"COALINDIA","Coal India Limited","-","EQ","10"," Interim Dividend Rs 16.50 Per Share (Purpose And Date Revised)","16-Mar-2018","19-Mar-2018","-","-","-","-"
"ENGINERSIN","Engineers India Limited","-","EQ","5"," Interim Dividend - Rs 2.50 Per Share (Purpose Revised)","19-Mar-2018","20-Mar-2018","-","-","-","-"
"VEDL","Vedanta Limited","-","EQ","1"," Interim Dividend - Rs 21.20 Per Share (Purpose Revised)","20-Mar-2018","21-Mar-2018","-","-","-","-"
"COLPAL","Colgate Palmolive (India) Limited","-","EQ","1"," Interim Dividend - Rs 5 Per Share (Purpose Revised)","20-Mar-2018","21-Mar-2018","-","-","-","-"
"KKCL","Kewal Kiran Clothing Limited","-","EQ","10"," Interim Dividend - Rs 5 Per Share","20-Mar-2018","21-Mar-2018","-","-","-","-"
"INDNIPPON","India Nippon Electricals Limited","-","EQ","5"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share","21-Mar-2018","22-Mar-2018","-","-","-","-"
"SUNTV","Sun TV Network Limited","-","EQ","5"," Interim Dividend - Rs2.50 Per Share (Purpose Revised)","22-Mar-2018","23-Mar-2018","-","-","-","-"
"COROMANDEL","Coromandel International Limited","-","EQ","1"," Interim Dividend Re 3/- Per Share (Purpose Revised)","22-Mar-2018","24-Mar-2018","-","-","-","-"
"ALEMBICLTD","Alembic Limited","-","EQ","2"," Buyback","22-Mar-2018","23-Mar-2018","-","-","-","-"
"SUNCLAYLTD","Sundaram Clayton Limited","-","EQ","5"," Interim Dividend Rs 15/- Per Share (Purpose Revised)","22-Mar-2018","23-Mar-2018","-","-","-","-"
"LAOPALA","La Opala RG Limited","-","EQ","2"," Bonus 1:1","22-Mar-2018","23-Mar-2018","-","-","-","-"
"HDFC","Housing Development Finance Corporation Limited","-","EQ","2"," Interim Dividend Rs 3.50 Per Share (Purpose Revised)","22-Mar-2018","24-Mar-2018","-","-","-","-"
"UNITEDTEA","The United Nilgiri Tea Estates Company Limited","-","EQ","10"," Interim Dividend Re 1/- Per Share (Purpose Revised)","23-Mar-2018","26-Mar-2018","-","-","-","-"
"HINDZINC","Hindustan Zinc Limited","-","EQ","2"," Interim Dividend Rs 6/- Per Share 9purpose Revised)","23-Mar-2018","26-Mar-2018","-","-","-","-"
"KIOCL","KIOCL Limited","-","EQ","10"," Interim Dividend - Re 0.27 Per Share (Purpose Revised)","26-Mar-2018","27-Mar-2018","-","-","-","-"
"NLCINDIA","NLC India Limited","-","EQ","10"," Interim Dividend - Rs 4.23 Per Share (Purpose Revised)","26-Mar-2018","27-Mar-2018","-","-","-","-"
"KELLTONTEC","Kellton Tech Solutions Limited","-","EQ","5"," Bonus 1:1","27-Mar-2018","29-Mar-2018","-","-","-","-"
"BEARDSELL","Beardsell Limited","-","EQ","2"," Interim Dividend Re 0.24 Per Share","27-Mar-2018","28-Mar-2018","-","-","-","-"
"OIL","Oil India Limited","-","EQ","10"," Bonus 1:2","27-Mar-2018","29-Mar-2018","-","-","-","-"
"NMDC","NMDC Limited","-","EQ","1"," Interim Dividend Rs 4.30 Per Share","27-Mar-2018","28-Mar-2018","-","-","-","-"
"GAIL","GAIL (India) Limited","-","EQ","10"," Bonus 1:3","27-Mar-2018","29-Mar-2018","-","-","-","-"
"DATAMATICS","Datamatics Global Services Limited","-","EQ","5"," Interim Dividend - Re 0.50 Per Share (Purpose Revised)","27-Mar-2018","29-Mar-2018","-","-","-","-"
"DLF","DLF Limited","-","EQ","2"," Interim Dividend - Rs 1.20 Per Share (Purpose Revised)","27-Mar-2018","28-Mar-2018","-","-","-","-"
"CRISIL","CRISIL Limited","-","EQ","1"," Annual General Meeting/ Dividend - Rs 10 Per Share","27-Mar-2018","-","02-Apr-2018","03-Apr-2018","-","-"
"ASHOKA","Ashoka Buildcon Limited","-","EQ","5"," Interim Dividend - Re 0.80 Per Share (Purpose Revised)","27-Mar-2018","28-Mar-2018","-","-","-","-"
"TALWALKARS","Talwalkars Better Value Fitness Limited","-","EQ","10"," Scheme Of Arrangement","27-Mar-2018","28-Mar-2018","-","-","-","-"
"BANCOINDIA","Banco Products (I) Limited","-","EQ","2"," Interim Dividend - Rs 4.20 Per Share","27-Mar-2018","28-Mar-2018","-","-","-","-"
"VESUVIUS","Vesuvius India Limited","-","EQ","10"," Dividend - Rs 6.75 Per Share","28-Mar-2018","03-Apr-2018","-","-","-","-"
"IMFA","Indian Metals & Ferro Alloys Limited","-","EQ","10"," Interim Dividend - Rs 5 Per Share (Record Date Updated)","28-Mar-2018","03-Apr-2018","-","-","-","-"
"NRBBEARING","NRB Bearing Limited","-","EQ","2"," Interim Dividend - Rs 1.40 Per Share","28-Mar-2018","03-Apr-2018","-","-","-","-"
